Round,Raw_Score,Abs_Training_Loss,Diff_Normalized_Reward,Detection_Rate,FP_Rate,Efficiency,Agent_Elo,Elo_Delta,Difficulty_Elo,Elo_Gap,Win_Rate,Difficulty_Frac
22,0.821600,0.178400,0.966738,0.907000,0.009000,0.648000,1136.150000,6.490000,1200.350000,-64.200000,1.000000,0.500437
23,0.832200,0.167800,0.981966,0.913000,0.008000,0.720000,1143.440000,7.290000,1206.710000,-63.270000,1.000000,0.508387
24,0.822400,0.177600,0.972222,0.915000,0.005000,0.672000,1149.850000,6.410000,1210.940000,-61.090000,1.000000,0.513675
25,0.813000,0.187000,0.963339,0.884000,0.008000,0.666000,1155.490000,5.640000,1216.160000,-60.670000,1.000000,0.520200
26,0.819900,0.180100,0.973938,0.900000,0.006000,0.664000,1161.650000,6.160000,1221.760000,-60.110000,1.000000,0.527200
27,0.812200,0.187800,0.966911,0.904000,0.006000,0.624000,1167.160000,5.510000,1226.680000,-59.520000,1.000000,0.533350
28,0.811500,0.188500,0.968468,0.870000,0.007000,0.651000,1172.620000,5.460000,1232.210000,-59.590000,1.000000,0.540263
29,0.796400,0.203600,0.952493,0.870000,0.007000,0.598000,1176.860000,4.240000,1237.010000,-60.150000,1.000000,0.546262
30,0.806900,0.193100,0.967429,0.894000,0.007000,0.600000,1181.990000,5.130000,1242.490000,-60.500000,1.000000,0.553113
31,0.797400,0.202600,0.957831,0.845000,0.008000,0.623000,1186.320000,4.330000,1246.650000,-60.330000,1.000000,0.558313
32,0.804900,0.195100,0.968908,0.883000,0.008000,0.606000,1191.260000,4.940000,1251.390000,-60.130000,1.000000,0.564238
33,0.812800,0.187200,0.980082,0.917000,0.006000,0.614000,1196.770000,5.510000,1255.150000,-58.380000,1.000000,0.568938
34,0.810300,0.189700,0.978540,0.910000,0.007000,0.596000,1201.990000,5.220000,1258.480000,-56.490000,1.000000,0.573100
35,0.782900,0.217100,0.957629,0.873000,0.008000,0.523000,1206.040000,4.050000,1286.560000,-80.520000,1.000000,0.608200
36,0.782900,0.217100,0.960347,0.891000,0.006000,0.474000,1210.180000,4.140000,1292.730000,-82.550000,1.000000,0.615912
37,0.796700,0.203300,0.979812,0.892000,0.008000,0.502000,1215.490000,5.310000,1298.360000,-82.870000,1.000000,0.622950
38,0.795800,0.204200,0.981008,0.896000,0.007000,0.540000,1220.720000,5.230000,1303.450000,-82.730000,1.000000,0.629313
39,0.773400,0.226600,0.961449,0.842000,0.007000,0.474000,1224.710000,3.990000,1321.570000,-96.860000,0.800000,0.651962
40,0.791200,0.208800,0.986146,0.918000,0.008000,0.472000,1230.190000,5.480000,1327.160000,-96.970000,0.800000,0.658950
41,0.767100,0.232900,0.957702,0.876000,0.007000,0.399000,1233.660000,3.470000,1330.720000,-97.060000,0.600000,0.663400
42,0.782500,0.217500,0.978858,0.881000,0.007000,0.504000,1238.400000,4.740000,1334.930000,-96.530000,0.600000,0.668663
43,0.778100,0.221900,0.974821,0.894000,0.008000,0.428000,1242.720000,4.320000,1338.140000,-95.420000,0.400000,0.672675
44,0.772800,0.227200,0.969867,0.902000,0.006000,0.406000,1246.590000,3.870000,1341.840000,-95.250000,0.400000,0.677300
45,0.762500,0.237500,0.958041,0.885000,0.007000,0.366000,1249.580000,2.990000,1344.280000,-94.700000,0.200000,0.680350
46,0.764400,0.235600,0.961692,0.894000,0.008000,0.360000,1252.710000,3.130000,1347.070000,-94.360000,0.200000,0.683837
47,0.767800,0.232200,0.966996,0.889000,0.007000,0.358000,1256.070000,3.360000,1349.320000,-93.250000,0.000000,0.686650
48,0.775200,0.224800,0.977618,0.891000,0.007000,0.396000,1260.000000,3.930000,1352.140000,-92.140000,0.000000,0.690175
49,0.761500,0.238500,0.961387,0.873000,0.007000,0.350000,1262.770000,2.770000,1354.440000,-91.670000,0.000000,0.693050
50,0.768500,0.231500,0.971448,0.890000,0.008000,0.401000,1266.090000,3.320000,1357.100000,-91.010000,0.000000,0.696375
51,0.771500,0.228500,0.976592,0.909000,0.009000,0.364000,1269.630000,3.540000,1360.020000,-90.390000,0.000000,0.700025
52,0.772300,0.227700,0.978482,0.886000,0.006000,0.396000,1273.160000,3.530000,1361.910000,-88.750000,0.000000,0.702388
53,0.758300,0.241700,0.961649,0.862000,0.007000,0.396000,1275.510000,2.350000,1363.890000,-88.380000,0.000000,0.704863
54,0.737400,0.262600,0.936516,0.849000,0.006000,0.254000,1276.270000,0.760000,1366.970000,-90.700000,0.000000,0.708713
55,0.756500,0.243500,0.961529,0.901000,0.008000,0.283000,1278.550000,2.280000,1368.620000,-90.070000,0.000000,0.710775
56,0.750200,0.249800,0.954013,0.878000,0.006000,0.289000,1280.290000,1.740000,1369.700000,-89.410000,0.000000,0.712125
57,0.761400,0.238600,0.968824,0.894000,0.009000,0.316000,1282.890000,2.600000,1370.930000,-88.040000,0.000000,0.713663
58,0.762800,0.237200,0.971106,0.939000,0.007000,0.272000,1285.530000,2.640000,1372.010000,-86.480000,0.000000,0.715012
59,0.749400,0.250600,0.954575,0.876000,0.007000,0.307000,1287.060000,1.530000,1373.170000,-86.110000,0.000000,0.716463
60,0.745600,0.254400,0.950675,0.880000,0.007000,0.241000,1288.310000,1.250000,1375.240000,-86.930000,0.000000,0.719050
61,0.768600,0.231400,0.980427,0.913000,0.008000,0.341000,1291.360000,3.050000,1376.150000,-84.790000,0.000000,0.720188
62,0.760000,0.240000,0.970386,0.901000,0.007000,0.330000,1293.680000,2.320000,1378.150000,-84.470000,0.000000,0.722688
63,0.772100,0.227900,0.986733,0.902000,0.006000,0.362000,1296.950000,3.270000,1380.050000,-83.100000,0.000000,0.725062
64,0.755400,0.244600,0.966256,0.882000,0.006000,0.306000,1298.830000,1.880000,1381.920000,-83.090000,0.000000,0.727400
65,0.773700,0.226300,0.990429,0.941000,0.009000,0.352000,1302.150000,3.320000,1383.530000,-81.380000,0.000000,0.729413
66,0.756300,0.243700,0.968588,0.894000,0.007000,0.314000,1303.990000,1.840000,1384.460000,-80.470000,0.000000,0.730575
67,0.749200,0.250800,0.960584,0.916000,0.007000,0.237000,1305.290000,1.300000,1386.820000,-81.530000,0.000000,0.733525
68,0.734700,0.265300,0.942541,0.871000,0.005000,0.226000,1305.470000,0.180000,1388.030000,-82.560000,0.000000,0.735038
69,0.745900,0.254100,0.957301,0.910000,0.005000,0.204000,1306.540000,1.070000,1388.880000,-82.340000,0.000000,0.736100
70,0.768400,0.231600,0.986486,0.913000,0.007000,0.325000,1309.360000,2.820000,1389.530000,-80.170000,0.000000,0.736912
71,0.759600,0.240400,0.975715,0.897000,0.007000,0.317000,1311.410000,2.050000,1390.650000,-79.240000,0.000000,0.738313
72,0.743900,0.256100,0.956142,0.911000,0.008000,0.197000,1312.200000,0.790000,1391.940000,-79.740000,0.000000,0.739925
73,0.742000,0.258000,0.954003,0.882000,0.010000,0.241000,1312.830000,0.630000,1392.600000,-79.770000,0.000000,0.740750
74,0.733800,0.266200,0.944084,0.884000,0.007000,0.173000,1312.870000,0.040000,1393.970000,-81.100000,0.000000,0.742463
75,0.744400,0.255600,0.957948,0.860000,0.006000,0.266000,1313.740000,0.870000,1394.460000,-80.720000,0.000000,0.743075
76,0.748100,0.251900,0.963314,0.896000,0.007000,0.259000,1314.920000,1.180000,1395.760000,-80.840000,0.000000,0.744700
77,0.750200,0.249800,0.966219,0.906000,0.006000,0.218000,1316.230000,1.310000,1396.190000,-79.960000,0.000000,0.745238
78,0.740000,0.260000,0.953105,0.898000,0.007000,0.191000,1316.690000,0.460000,1396.240000,-79.550000,0.000000,0.745300
79,0.729000,0.271000,0.939041,0.851000,0.009000,0.222000,1316.300000,-0.390000,1396.470000,-80.170000,0.000000,0.745588
80,0.744300,0.255700,0.959102,0.877000,0.006000,0.259000,1317.130000,0.830000,1397.230000,-80.100000,0.000000,0.746538
81,0.740100,0.259900,0.953920,0.898000,0.006000,0.196000,1317.630000,0.500000,1397.730000,-80.100000,0.000000,0.747163
82,0.768600,0.231400,0.990683,0.922000,0.007000,0.307000,1320.340000,2.710000,1397.790000,-77.450000,0.000000,0.747237
83,0.754100,0.245900,0.972077,0.893000,0.007000,0.273000,1321.800000,1.460000,1397.970000,-76.170000,0.000000,0.747463
84,0.745000,0.255000,0.960667,0.895000,0.007000,0.217000,1322.510000,0.710000,1398.660000,-76.150000,0.000000,0.748325
85,0.743600,0.256400,0.958987,0.877000,0.008000,0.255000,1323.090000,0.580000,1398.930000,-75.840000,0.000000,0.748663
86,0.753100,0.246900,0.972085,0.887000,0.008000,0.307000,1324.470000,1.380000,1400.730000,-76.260000,0.000000,0.750912
87,0.749500,0.250500,0.967977,0.918000,0.008000,0.241000,1325.550000,1.080000,1401.880000,-76.330000,0.000000,0.752350
88,0.759800,0.240200,0.981479,0.902000,0.010000,0.316000,1327.410000,1.860000,1402.300000,-74.890000,0.000000,0.752875
89,0.765700,0.234300,0.989537,0.920000,0.008000,0.324000,1329.700000,2.290000,1403.210000,-73.510000,0.000000,0.754013
90,0.760100,0.239900,0.982667,0.900000,0.006000,0.291000,1331.480000,1.780000,1403.980000,-72.500000,0.000000,0.754975
91,0.747600,0.252400,0.966933,0.882000,0.005000,0.244000,1332.240000,0.760000,1404.890000,-72.650000,0.000000,0.756113
92,0.744300,0.255700,0.963314,0.886000,0.007000,0.259000,1332.770000,0.530000,1406.280000,-73.510000,0.000000,0.757850
93,0.745000,0.255000,0.964492,0.889000,0.008000,0.260000,1333.360000,0.590000,1406.860000,-73.500000,0.000000,0.758575
94,0.751100,0.248900,0.972672,0.898000,0.008000,0.272000,1334.420000,1.060000,1407.460000,-73.040000,0.000000,0.759325
95,0.737700,0.262300,0.955292,0.885000,0.008000,0.216000,1334.400000,-0.020000,1407.400000,-73.000000,0.000000,0.759250
96,0.721000,0.279000,0.940461,0.892000,0.009000,0.082000,1333.780000,-0.620000,1422.280000,-88.500000,0.000000,0.777850
97,0.721500,0.278500,0.940934,0.904000,0.007000,0.026000,1333.200000,-0.580000,1421.890000,-88.690000,0.000000,0.777363
98,0.722300,0.277700,0.941512,0.890000,0.007000,0.097000,1332.660000,-0.540000,1420.880000,-88.220000,0.000000,0.776100
99,0.744900,0.255100,0.970957,0.905000,0.007000,0.225000,1333.860000,1.200000,1420.850000,-86.990000,0.000000,0.776062
100,0.729000,0.271000,0.950692,0.889000,0.007000,0.148000,1333.830000,-0.030000,1421.840000,-88.010000,0.000000,0.777300
101,0.719200,0.280800,0.938026,0.898000,0.008000,0.061000,1333.090000,-0.740000,1422.090000,-89.000000,0.000000,0.777612
102,0.723800,0.276200,0.943901,0.879000,0.007000,0.128000,1332.710000,-0.380000,1421.820000,-89.110000,0.000000,0.777275
103,0.737400,0.262600,0.961726,0.908000,0.009000,0.160000,1333.380000,0.670000,1422.010000,-88.630000,0.000000,0.777512
104,0.721800,0.278200,0.941233,0.899000,0.007000,0.096000,1332.830000,-0.550000,1421.690000,-88.860000,0.000000,0.777113
105,0.721000,0.279000,0.940052,0.899000,0.007000,0.102000,1332.230000,-0.600000,1421.390000,-89.160000,0.000000,0.776738
106,0.742000,0.258000,0.967295,0.913000,0.009000,0.161000,1333.230000,1.000000,1421.100000,-87.870000,0.000000,0.776375
107,0.728400,0.271600,0.949589,0.878000,0.008000,0.126000,1333.160000,-0.070000,1421.150000,-87.990000,0.000000,0.776438
108,0.740700,0.259300,0.965789,0.900000,0.008000,0.205000,1334.040000,0.880000,1421.500000,-87.460000,0.000000,0.776875
109,0.739700,0.260300,0.964641,0.914000,0.007000,0.176000,1334.820000,0.780000,1421.830000,-87.010000,0.000000,0.777287
110,0.738200,0.261800,0.962869,0.884000,0.007000,0.204000,1335.460000,0.640000,1422.220000,-86.760000,0.000000,0.777775
111,0.723700,0.276300,0.944367,0.903000,0.004000,0.070000,1335.020000,-0.440000,1423.110000,-88.090000,0.000000,0.778887
112,0.719200,0.280800,0.938081,0.862000,0.007000,0.136000,1334.230000,-0.790000,1422.210000,-87.980000,0.000000,0.777763
113,0.725200,0.274800,0.946241,0.917000,0.008000,0.079000,1333.950000,-0.280000,1422.930000,-88.980000,0.000000,0.778663
114,0.724300,0.275700,0.944932,0.909000,0.006000,0.069000,1333.600000,-0.350000,1422.640000,-89.040000,0.000000,0.778300
115,0.720600,0.279400,0.939668,0.893000,0.006000,0.092000,1332.960000,-0.640000,1421.690000,-88.730000,0.000000,0.777113
116,0.730400,0.269600,0.952271,0.891000,0.008000,0.145000,1333.060000,0.100000,1421.310000,-88.250000,0.000000,0.776637
117,0.742600,0.257400,0.968376,0.913000,0.007000,0.185000,1334.100000,1.040000,1421.730000,-87.630000,0.000000,0.777162
118,0.731700,0.268300,0.954516,0.904000,0.007000,0.124000,1334.300000,0.200000,1422.490000,-88.190000,0.000000,0.778112
119,0.731200,0.268800,0.953640,0.887000,0.007000,0.150000,1334.430000,0.130000,1422.010000,-87.580000,0.000000,0.777512
120,0.716500,0.283500,0.934861,0.891000,0.008000,0.082000,1333.500000,-0.930000,1422.870000,-89.370000,0.000000,0.778587
121,0.742200,0.257800,0.968200,0.940000,0.006000,0.146000,1334.520000,1.020000,1422.460000,-87.940000,0.000000,0.778075
122,0.737300,0.262700,0.961469,0.888000,0.008000,0.186000,1335.090000,0.570000,1421.740000,-86.650000,0.000000,0.777175
123,0.733900,0.266100,0.957246,0.888000,0.007000,0.200000,1335.400000,0.310000,1422.190000,-86.790000,0.000000,0.777738
124,0.742800,0.257200,0.969143,0.917000,0.008000,0.196000,1336.400000,1.000000,1422.800000,-86.400000,0.000000,0.778500
125,0.743300,0.256700,0.969834,0.892000,0.010000,0.233000,1337.400000,1.000000,1422.880000,-85.480000,0.000000,0.778600
126,0.716700,0.283300,0.935461,0.855000,0.006000,0.083000,1336.390000,-1.010000,1423.610000,-87.220000,0.000000,0.779512
127,0.731600,0.268400,0.955124,0.899000,0.006000,0.116000,1336.540000,0.150000,1424.070000,-87.530000,0.000000,0.780087
128,0.733400,0.266600,0.957296,0.867000,0.008000,0.206000,1336.810000,0.270000,1423.690000,-86.880000,0.000000,0.779613
129,0.738200,0.261800,0.963797,0.892000,0.007000,0.205000,1337.460000,0.650000,1424.190000,-86.730000,0.000000,0.780238
130,0.712000,0.288000,0.929627,0.894000,0.008000,0.036000,1336.140000,-1.320000,1424.270000,-88.130000,0.000000,0.780338
131,0.733500,0.266500,0.957544,0.897000,0.007000,0.149000,1336.450000,0.310000,1423.940000,-87.490000,0.000000,0.779925
132,0.739400,0.260600,0.965373,0.910000,0.007000,0.180000,1337.210000,0.760000,1424.210000,-87.000000,0.000000,0.780263
133,0.732200,0.267800,0.956198,0.895000,0.008000,0.160000,1337.400000,0.190000,1424.690000,-87.290000,0.000000,0.780863
134,0.740500,0.259500,0.967108,0.884000,0.008000,0.216000,1338.220000,0.820000,1424.840000,-86.620000,0.000000,0.781050
135,0.738100,0.261900,0.964205,0.900000,0.005000,0.174000,1338.840000,0.620000,1425.330000,-86.490000,0.000000,0.781662
136,0.734900,0.265100,0.960067,0.903000,0.007000,0.189000,1339.200000,0.360000,1425.420000,-86.220000,0.000000,0.781775
137,0.734300,0.265700,0.959269,0.907000,0.006000,0.145000,1339.500000,0.300000,1425.390000,-85.890000,0.000000,0.781738
138,0.724400,0.275600,0.946276,0.887000,0.008000,0.135000,1339.030000,-0.470000,1425.260000,-86.230000,0.000000,0.781575
139,0.724200,0.275800,0.946010,0.901000,0.007000,0.090000,1338.570000,-0.460000,1425.250000,-86.680000,0.000000,0.781563
140,0.740400,0.259600,0.966930,0.904000,0.008000,0.186000,1339.330000,0.760000,1424.740000,-85.410000,0.000000,0.780925
141,0.715500,0.284500,0.934659,0.889000,0.007000,0.061000,1338.220000,-1.110000,1425.280000,-87.060000,0.000000,0.781600
142,0.727500,0.272500,0.950279,0.919000,0.007000,0.092000,1338.030000,-0.190000,1425.160000,-87.130000,0.000000,0.781450
143,0.724100,0.275900,0.945374,0.887000,0.010000,0.092000,1337.550000,-0.480000,1424.160000,-86.610000,0.000000,0.780200
144,0.714800,0.285200,0.933210,0.916000,0.006000,0.016000,1336.420000,-1.130000,1424.110000,-87.690000,0.000000,0.780137
145,0.724300,0.275700,0.945168,0.898000,0.008000,0.097000,1335.990000,-0.430000,1423.150000,-87.160000,0.000000,0.778938
146,0.721600,0.278400,0.941635,0.889000,0.007000,0.114000,1335.370000,-0.620000,1423.130000,-87.760000,0.000000,0.778913
147,0.721300,0.278700,0.941110,0.911000,0.007000,0.052000,1334.750000,-0.620000,1422.840000,-88.090000,0.000000,0.778550
148,0.731900,0.268100,0.954534,0.884000,0.009000,0.191000,1334.910000,0.160000,1421.970000,-87.060000,0.000000,0.777463
149,0.728600,0.271400,0.950537,0.883000,0.008000,0.117000,1334.840000,-0.070000,1422.630000,-87.790000,0.000000,0.778288
150,0.740600,0.259400,0.966292,0.916000,0.006000,0.148000,1335.690000,0.850000,1422.840000,-87.150000,0.000000,0.778550
151,0.726300,0.273700,0.947328,0.889000,0.005000,0.119000,1335.400000,-0.290000,1422.180000,-86.780000,0.000000,0.777725
152,0.729200,0.270800,0.951111,0.891000,0.009000,0.142000,1335.340000,-0.060000,1422.180000,-86.840000,0.000000,0.777725
153,0.735900,0.264100,0.960047,0.914000,0.007000,0.128000,1335.800000,0.460000,1422.600000,-86.800000,0.000000,0.778250
154,0.712300,0.287700,0.929090,0.893000,0.006000,0.003000,1334.480000,-1.320000,1422.230000,-87.750000,0.000000,0.777788
155,0.726700,0.273300,0.947567,0.894000,0.006000,0.115000,1334.240000,-0.240000,1421.570000,-87.330000,0.000000,0.776962
156,0.720800,0.279200,0.939915,0.882000,0.008000,0.113000,1333.580000,-0.660000,1421.660000,-88.080000,0.000000,0.777075
157,0.727000,0.273000,0.948209,0.905000,0.007000,0.111000,1333.430000,-0.150000,1422.110000,-88.680000,0.000000,0.777637
158,0.732000,0.268000,0.954515,0.876000,0.006000,0.160000,1333.640000,0.210000,1421.650000,-88.010000,0.000000,0.777063
159,0.741600,0.258400,0.967303,0.926000,0.010000,0.171000,1334.600000,0.960000,1422.220000,-87.620000,0.000000,0.777775
160,0.734600,0.265400,0.958243,0.880000,0.007000,0.184000,1334.990000,0.390000,1422.370000,-87.380000,0.000000,0.777962
161,0.738000,0.262000,0.962721,0.908000,0.007000,0.176000,1335.620000,0.630000,1422.460000,-86.840000,0.000000,0.778075
162,0.735800,0.264200,0.959987,0.879000,0.007000,0.190000,1336.070000,0.450000,1422.750000,-86.680000,0.000000,0.778438
163,0.739100,0.260900,0.964609,0.908000,0.007000,0.169000,1336.780000,0.710000,1423.420000,-86.640000,0.000000,0.779275
164,0.726700,0.273300,0.948337,0.894000,0.008000,0.109000,1336.520000,-0.260000,1423.230000,-86.710000,0.000000,0.779038
165,0.713300,0.286700,0.930855,0.867000,0.008000,0.072000,1335.290000,-1.230000,1423.240000,-87.950000,0.000000,0.779050
166,0.737300,0.262700,0.962250,0.898000,0.006000,0.182000,1335.900000,0.610000,1423.400000,-87.500000,0.000000,0.779250
167,0.740800,0.259200,0.966681,0.914000,0.007000,0.130000,1336.740000,0.840000,1423.110000,-86.370000,0.000000,0.778887
168,0.741200,0.258800,0.966994,0.898000,0.009000,0.197000,1337.550000,0.810000,1422.670000,-85.120000,0.000000,0.778338
169,0.735900,0.264100,0.960437,0.911000,0.006000,0.133000,1337.960000,0.410000,1423.430000,-85.470000,0.000000,0.779288
170,0.728300,0.271700,0.950365,0.889000,0.008000,0.134000,1337.760000,-0.200000,1423.100000,-85.340000,0.000000,0.778875
171,0.716200,0.283800,0.934808,0.880000,0.006000,0.097000,1336.700000,-1.060000,1423.610000,-86.910000,0.000000,0.779512
172,0.719800,0.280200,0.939599,0.873000,0.006000,0.080000,1335.960000,-0.740000,1423.810000,-87.850000,0.000000,0.779762
173,0.720500,0.279500,0.940633,0.926000,0.007000,0.032000,1335.310000,-0.650000,1424.070000,-88.760000,0.000000,0.780087
174,0.722200,0.277800,0.942188,0.880000,0.007000,0.070000,1334.750000,-0.560000,1422.630000,-87.880000,0.000000,0.778288
175,0.726900,0.273100,0.948306,0.899000,0.006000,0.104000,1334.560000,-0.190000,1422.600000,-88.040000,0.000000,0.778250
176,0.704300,0.295700,0.918665,0.856000,0.007000,0.037000,1332.730000,-1.830000,1422.250000,-89.520000,0.000000,0.777813
177,0.726600,0.273400,0.948026,0.874000,0.007000,0.143000,1332.620000,-0.110000,1422.840000,-90.220000,0.000000,0.778550
178,0.734300,0.265700,0.957946,0.882000,0.007000,0.182000,1333.080000,0.460000,1422.570000,-89.490000,0.000000,0.778212
179,0.731500,0.268500,0.954381,0.902000,0.007000,0.136000,1333.310000,0.230000,1422.760000,-89.450000,0.000000,0.778450
180,0.730100,0.269900,0.952518,0.906000,0.006000,0.106000,1333.420000,0.110000,1422.680000,-89.260000,0.000000,0.778350
181,0.716900,0.283100,0.935013,0.886000,0.009000,0.080000,1332.530000,-0.890000,1422.060000,-89.530000,0.000000,0.777575
182,0.743300,0.256700,0.969497,0.888000,0.006000,0.212000,1333.670000,1.140000,1422.170000,-88.500000,0.000000,0.777713
183,0.732400,0.267600,0.955397,0.924000,0.007000,0.101000,1333.930000,0.260000,1422.420000,-88.490000,0.000000,0.778025
184,0.712000,0.288000,0.928327,0.886000,0.008000,0.031000,1332.630000,-1.300000,1421.410000,-88.780000,0.000000,0.776763
185,0.730000,0.270000,0.951740,0.875000,0.007000,0.172000,1332.710000,0.080000,1421.290000,-88.580000,0.000000,0.776612
186,0.744500,0.255500,0.970977,0.910000,0.007000,0.199000,1333.920000,1.210000,1421.990000,-88.070000,0.000000,0.777487
187,0.725800,0.274200,0.946676,0.913000,0.009000,0.080000,1333.670000,-0.250000,1422.180000,-88.510000,0.000000,0.777725
188,0.732000,0.268000,0.954413,0.904000,0.007000,0.105000,1333.860000,0.190000,1421.430000,-87.570000,0.000000,0.776788
189,0.725300,0.274700,0.945483,0.901000,0.009000,0.102000,1333.520000,-0.340000,1421.010000,-87.490000,0.000000,0.776262
190,0.736000,0.264000,0.959450,0.927000,0.006000,0.107000,1334.000000,0.480000,1421.050000,-87.050000,0.000000,0.776312
191,0.740400,0.259600,0.965054,0.902000,0.006000,0.175000,1334.790000,0.790000,1420.770000,-85.980000,0.000000,0.775962
192,0.710900,0.289100,0.926779,0.901000,0.007000,0.016000,1333.370000,-1.420000,1421.160000,-87.790000,0.000000,0.776450
193,0.747500,0.252500,0.974160,0.915000,0.007000,0.201000,1334.720000,1.350000,1420.460000,-85.740000,0.000000,0.775575
194,0.720000,0.280000,0.938464,0.893000,0.007000,0.075000,1333.950000,-0.770000,1420.770000,-86.820000,0.000000,0.775962
195,0.735100,0.264900,0.958071,0.893000,0.008000,0.167000,1334.330000,0.380000,1420.610000,-86.280000,0.000000,0.775762
196,0.739400,0.260600,0.963910,0.912000,0.008000,0.155000,1335.040000,0.710000,1421.110000,-86.070000,0.000000,0.776387
197,0.748500,0.251500,0.975902,0.903000,0.006000,0.236000,1336.440000,1.400000,1421.380000,-84.940000,0.000000,0.776725
198,0.717200,0.282800,0.935427,0.871000,0.007000,0.097000,1335.440000,-1.000000,1422.110000,-86.670000,0.000000,0.777637
199,0.728700,0.271300,0.950612,0.913000,0.006000,0.103000,1335.350000,-0.090000,1422.510000,-87.160000,0.000000,0.778138
200,0.733100,0.266900,0.955987,0.901000,0.007000,0.147000,1335.570000,0.220000,1421.730000,-86.160000,0.000000,0.777162
201,0.722100,0.277900,0.941956,0.889000,0.007000,0.102000,1334.980000,-0.590000,1422.410000,-87.430000,0.000000,0.778013
202,0.721000,0.279000,0.940549,0.875000,0.007000,0.114000,1334.340000,-0.640000,1422.470000,-88.130000,0.000000,0.778088
203,0.715400,0.284600,0.933362,0.888000,0.007000,0.059000,1333.330000,-1.010000,1422.730000,-89.400000,0.000000,0.778413
204,0.743200,0.256800,0.969404,0.911000,0.007000,0.200000,1334.430000,1.100000,1422.250000,-87.820000,0.000000,0.777813
205,0.722800,0.277200,0.942749,0.871000,0.007000,0.132000,1333.930000,-0.500000,1422.150000,-88.220000,0.000000,0.777688
206,0.728700,0.271300,0.950426,0.875000,0.008000,0.150000,1333.890000,-0.040000,1422.110000,-88.220000,0.000000,0.777637
207,0.712900,0.287100,0.930032,0.907000,0.007000,0.000000,1332.710000,-1.180000,1422.580000,-89.870000,0.000000,0.778225
208,0.715100,0.284900,0.932492,0.867000,0.005000,0.072000,1331.700000,-1.010000,1421.680000,-89.980000,0.000000,0.777100
209,0.732400,0.267600,0.955060,0.926000,0.009000,0.111000,1332.010000,0.310000,1421.700000,-89.690000,0.000000,0.777125
210,0.709600,0.290400,0.925103,0.876000,0.007000,0.020000,1330.620000,-1.390000,1421.200000,-90.580000,0.000000,0.776500
211,0.732000,0.268000,0.953993,0.866000,0.007000,0.204000,1330.900000,0.280000,1420.530000,-89.630000,0.000000,0.775662
